,PARA_A,PARA_B,TOTAL,Sector_score,numbers,LOSS_SCORE,Money_Value,History_score,District,Risk
0,4.18,2.5,6.68,3.89,5.0,2,3.38,2,2,1
1,0.0,4.83,4.83,3.89,5.0,2,0.94,2,2,0
2,0.51,0.23,0.74,3.89,5.0,2,0.0,2,2,0
3,0.0,10.8,10.8,3.89,6.0,2,11.75,2,2,1
4,0.0,0.08,0.08,3.89,5.0,2,0.0,2,2,0
5,0.0,0.83,0.83,3.89,5.0,2,2.95,2,2,0
6,1.1,7.41,8.51,3.89,5.0,2,44.95,2,2,1
7,8.5,12.03,20.53,3.89,5.5,2,7.79,2,2,1
8,8.4,11.05,19.45,3.89,5.5,2,7.34,2,2,1
9,3.98,0.99,4.97,3.89,5.0,2,1.93,2,2,1
10,5.43,10.77,16.2,3.89,5.0,2,4.42,2,2,1
11,15.38,40.14,55.52,3.89,5.0,4,0.96,4,2,1
12,5.47,7.63,13.1,3.89,5.0,2,10.43,4,2,1
13,1.09,0.35,1.44,3.89,5.0,2,0.0,2,2,1
14,0.0,0.84,0.84,3.89,5.0,2,0.006999999999999999,2,2,0
15,1.95,9.01,10.96,3.89,5.0,2,9.0,2,2,1
16,8.54,31.63,40.17,3.89,5.0,2,41.28,4,2,1
17,4.18,4.83,9.01,3.89,5.5,2,14.03,2,2,1
18,1.81,1.03,2.84,3.89,5.0,2,0.0,2,2,1
19,4.86,46.78,51.64,3.89,5.5,2,63.18,2,2,1
20,6.26,14.1,20.36,3.89,5.0,2,34.24,4,2,1
21,0.02,5.94,5.96,3.89,5.0,2,0.01,2,2,1
22,5.31,22.79,28.1,3.89,5.0,2,205.19,4,2,1
23,0.94,0.01,0.95,3.89,5.0,2,0.1,2,2,0
24,5.78,57.92,63.7,3.89,5.0,2,11.16,2,2,1
25,7.42,2.24,9.66,3.89,5.0,2,1.25,2,2,1
26,0.0,1.1,1.1,3.89,5.0,2,0.006999999999999999,2,2,0
27,6.85,31.76,38.61,3.89,5.0,2,1.46,2,2,1
28,0.0,1.03,1.03,3.89,5.0,2,0.0,2,2,0
29,0.0,0.75,0.75,3.89,5.0,2,6.78,2,2,1
30,2.4,16.63,19.03,3.89,5.0,2,1.16,2,2,1
31,0.0,0.05,0.05,3.89,5.0,2,152.41,2,2,1
32,0.0,1.76,1.76,3.89,5.0,2,1.08,2,2,0
33,0.0,2.97,2.97,3.89,5.0,2,2.84,2,2,0
34,0.0,0.43,0.43,3.89,5.0,2,0.0,2,2,0
35,0.0,0.94,0.94,3.89,5.0,2,0.9,2,2,0
36,9.01,19.82,28.83,3.89,5.0,2,9.67,2,2,1
37,0.0,0.05,0.05,3.89,5.0,2,0.0,2,2,0
38,11.95,30.9,42.85,3.89,5.0,2,32.68,2,2,1
39,7.97,17.18,25.15,3.89,5.0,2,935.03,2,2,1
40,0.0,3.71,3.71,3.89,5.0,2,29.63,2,2,1
41,0.62,2.02,2.64,3.89,5.0,2,0.11,2,2,0
42,0.0,2.27,2.27,3.89,5.0,2,2.62,2,2,0
43,0.0,0.0,0.0,3.89,5.0,2,0.0,2,2,0
44,1.32,0.0,1.32,3.89,5.0,2,0.06,2,2,1
45,0.0,1.03,1.03,3.89,5.0,2,2.43,2,2,0
46,0.0,15.38,15.38,3.89,5.0,2,126.13,2,2,1
47,0.0,1.02,1.02,3.89,5.0,2,0.0,2,2,0
48,0.0,20.71,20.71,3.89,5.0,2,20.79,6,2,1
49,2.95,6.56,9.51,3.89,5.0,2,156.92,2,2,1
50,1.97,2.1,4.07,3.89,5.0,6,12.29,2,2,1
51,0.0,18.05,18.05,3.89,5.0,2,2.29,2,2,1
52,0.0,0.93,0.93,3.89,5.0,2,7.78,2,2,1
53,0.0,1.61,1.61,3.89,5.0,2,2.51,2,2,0
54,6.32,9.01,15.33,3.89,5.0,2,8.31,2,2,1
55,0.0,1.05,1.05,3.89,5.0,2,0.16,2,2,0
56,0.0,6.8,6.8,3.89,5.0,2,47.9,2,2,1
57,14.04,10.83,24.87,3.89,5.0,2,8.91,2,2,1
58,6.67,18.02,24.69,3.89,5.5,2,4.95,6,2,1
59,0.0,0.0,0.0,3.89,5.0,2,1.75,2,2,0
60,0.0,0.08,0.08,3.89,5.0,2,0.68,2,2,0
61,1.26,0.05,1.31,3.89,5.0,2,0.0,2,2,1
62,0.0,0.03,0.03,3.89,5.0,2,0.06,2,2,0
63,0.0,0.79,0.79,3.89,5.0,2,15.82,2,2,1
64,4.76,13.03,17.79,3.89,5.0,2,0.58,4,2,1
65,8.81,9.02,17.83,3.89,5.0,2,215.31,4,2,1
66,0.0,0.07,0.07,3.89,5.0,2,0.0,2,2,0
67,13.92,2.2,16.12,3.89,5.0,2,0.05,2,2,1
68,1.07,0.0,1.07,3.89,5.0,2,0.0,2,2,1
69,0.0,0.89,0.89,3.89,5.0,2,0.0,2,2,0
70,0.0,3.98,3.98,3.89,6.0,2,53.34,2,2,1
71,10.0,74.26,84.26,3.89,5.5,2,11.16,6,2,1
72,4.24,8.06,12.3,3.89,5.0,2,10.69,2,2,1
73,12.27,72.46,84.73,3.89,5.0,2,5.69,2,2,1
74,0.0,0.96,0.96,3.89,5.0,2,1.35,2,2,0
75,12.7,1.28,13.98,3.89,5.0,2,11.69,2,2,1
76,0.0,63.13,63.13,3.89,5.0,2,14.6,4,2,1
77,1.99,10.24,12.23,3.89,5.0,2,20.78,2,2,1
78,0.05,0.21,0.26,3.89,5.5,2,102.22,2,2,1
79,0.0,7.37,7.37,3.89,5.0,2,0.74,2,2,1
80,0.0,3.72,3.72,3.89,5.0,2,0.0,6,2,1
81,71.48,25.63,97.11,3.89,5.0,2,873.37,2,2,1
82,0.0,0.0,0.0,3.89,5.0,2,0.0,2,2,0
83,0.74,1.0,1.74,3.89,5.0,2,0.0,2,2,0
84,0.0,0.58,0.58,3.89,5.0,2,0.0,2,2,0
85,8.46,72.76,81.22,3.89,5.0,4,1.4,6,2,1
86,0.42,0.07,0.49,3.89,5.0,2,0.42,2,2,0
87,0.01,1.29,1.3,3.89,5.5,2,36.52,2,4,1
88,6.85,65.93,72.78,3.89,5.5,2,6.02,2,4,1
89,5.37,8.62,13.99,3.89,5.0,2,17.16,2,4,1
90,4.93,6.54,11.47,3.89,5.5,2,12.91,2,4,1
91,1.22,0.06,1.28,3.89,5.0,2,0.0,2,4,1
92,0.0,0.85,0.85,3.89,5.0,2,0.0,2,4,1
93,15.72,57.94,73.66,3.89,6.0,2,10.79,2,6,1
94,4.95,42.61,47.56,3.89,5.0,2,3.46,4,6,1
95,0.0,0.08,0.08,3.89,5.0,2,0.06,2,6,1
96,1.19,12.88,14.07,3.89,5.0,2,2.33,2,6,1
97,0.0,2.72,2.72,3.89,5.0,2,5.58,2,6,1
98,0.0,1.66,1.66,3.89,5.0,2,0.76,2,6,1
99,6.47,12.18,18.65,3.89,5.0,2,25.27,2,6,1
100,1.33,0.0,1.33,3.89,5.0,2,0.2,2,6,1
101,0.0,1.1,1.1,3.89,5.0,2,0.0,2,6,1
102,2.57,4.49,7.06,3.89,5.0,2,7.56,4,2,1
103,0.0,1.88,1.88,3.89,5.0,2,0.0,2,2,0
104,0.77,18.31,19.08,3.89,5.0,2,67.03,2,2,1
105,5.23,5.89,11.12,3.89,5.0,2,19.4,2,2,1
106,6.59,23.66,30.25,3.89,5.0,2,34.83,4,2,1
107,7.18,14.63,21.81,3.89,5.0,2,98.75,2,2,1
108,1.0,0.0,1.0,3.89,5.0,2,0.36,2,2,1
109,0.0,0.06,0.06,3.89,5.0,2,0.0,2,2,0
110,2.63,2.55,5.18,3.89,5.0,2,0.0,2,2,1
111,0.0,0.87,0.87,3.89,5.0,2,0.0,2,2,0
112,10.96,41.47,52.43,3.89,5.0,2,35.21,4,2,1
113,0.0,0.23,0.23,3.89,5.0,2,0.0,2,2,0
114,4.25,45.51,49.76,3.41,5.5,2,8.2,2,2,1
115,1.98,51.42,53.4,3.41,5.5,2,20.33,4,2,1
116,1.44,29.25,30.69,3.41,5.0,2,35.13,2,2,1
117,1.52,37.33,38.85,3.41,5.5,2,63.7,2,2,1
118,3.63,10.85,14.48,3.41,5.0,2,0.28,2,2,1
119,1.35,66.35,67.7,3.41,5.5,2,27.13,6,2,1
120,9.97,88.73,98.7,3.41,5.0,2,10.27,2,2,1
121,1.41,36.16,37.57,3.41,5.0,6,13.05,2,2,1
122,1.98,67.91,69.89,3.41,5.5,2,18.79,4,2,1
123,10.08,22.31,32.39,3.41,5.5,2,16.82,2,2,1
124,1.44,9.65,11.09,3.41,6.5,2,10.03,2,2,1
125,25.4,51.74,77.14,3.41,5.0,2,12.67,6,6,1
